expName,screenViewingDist,screenWidthCm,screenHeightCm,taskNum,taskLabel,imLeftRetinalSizeNum,imRightRetinalSizeNum,imLeftKnownSizeNum,imRightKnownSizeNum,imLeftRetinalSize,imRightRetinalSize,imLeftKnownSize,imRightKnownSize,condNum,condLabel,correctSideNum,correctSideLabel,imLeftNum,imRightNum,imLeftName,imRightName,isCorrect,responseNum,responseLabel,RT,sid
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,1,2,2,1,r-small,r-big,k-big,k-small,2,incongruent,2,right,7,7,ImageFilesMetamers_Paired/Small-visSmall/16_73.jpg,ImageFilesMetamers_Paired/Big-visSmall/16_28.jpg,1,2,rightSide,570.9571,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,2,1,1,2,r-big,r-small,k-small,k-big,2,incongruent,1,left,11,11,ImageFilesMetamers_Paired/Small-visSmall/01_78.jpg,ImageFilesMetamers_Paired/Big-visSmall/01_07.jpg,1,1,leftSide,499.4011,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,1,2,1,2,r-small,r-big,k-small,k-big,1,congruent,2,right,29,29,ImageFilesMetamers_Paired/Small-visSmall/08_45.jpg,ImageFilesMetamers_Paired/Big-visSmall/08_35.jpg,1,2,rightSide,447.623,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,1,2,1,2,r-small,r-big,k-small,k-big,1,congruent,2,right,8,8,ImageFilesMetamers_Paired/Small-visSmall/17_80.jpg,ImageFilesMetamers_Paired/Big-visSmall/17_21.jpg,1,2,rightSide,678.21,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,1,2,2,1,r-small,r-big,k-big,k-small,2,incongruent,2,right,15,15,ImageFilesMetamers_Paired/Small-visSmall/23_70.jpg,ImageFilesMetamers_Paired/Big-visSmall/23_16.jpg,1,2,rightSide,498.9384,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,1,2,1,2,r-small,r-big,k-small,k-big,1,congruent,2,right,9,9,ImageFilesMetamers_Paired/Small-visSmall/18_76.jpg,ImageFilesMetamers_Paired/Big-visSmall/18_23.jpg,1,2,rightSide,718.7908,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,1,2,2,1,r-small,r-big,k-big,k-small,2,incongruent,2,right,16,16,ImageFilesMetamers_Paired/Small-visSmall/24_61.jpg,ImageFilesMetamers_Paired/Big-visSmall/24_06.jpg,1,2,rightSide,425.8471,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,1,2,2,1,r-small,r-big,k-big,k-small,2,incongruent,2,right,18,18,ImageFilesMetamers_Paired/Small-visSmall/26_42.jpg,ImageFilesMetamers_Paired/Big-visSmall/26_32.jpg,1,2,rightSide,625.3981,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,2,1,1,2,r-big,r-small,k-small,k-big,2,incongruent,1,left,21,21,ImageFilesMetamers_Paired/Small-visSmall/29_69.jpg,ImageFilesMetamers_Paired/Big-visSmall/29_03.jpg,1,1,leftSide,600.274,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,1,2,1,2,r-small,r-big,k-small,k-big,1,congruent,2,right,11,11,ImageFilesMetamers_Paired/Small-visSmall/01_78.jpg,ImageFilesMetamers_Paired/Big-visSmall/01_07.jpg,1,2,rightSide,767.9778,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,2,1,1,2,r-big,r-small,k-small,k-big,2,incongruent,1,left,3,3,ImageFilesMetamers_Paired/Small-visSmall/12_58.jpg,ImageFilesMetamers_Paired/Big-visSmall/12_13.jpg,1,1,leftSide,535.7555,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,2,1,1,2,r-big,r-small,k-small,k-big,2,incongruent,1,left,15,15,ImageFilesMetamers_Paired/Small-visSmall/23_70.jpg,ImageFilesMetamers_Paired/Big-visSmall/23_16.jpg,1,1,leftSide,594.2822,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,2,1,2,1,r-big,r-small,k-big,k-small,1,congruent,1,left,2,2,ImageFilesMetamers_Paired/Small-visSmall/11_71.jpg,ImageFilesMetamers_Paired/Big-visSmall/11_40.jpg,1,1,leftSide,562.4597,1
Exp_ObjectStroop_AreaControlled,57,41,30.75,2,which is bigger on the screen?,2,1,2,1,r-big,r-small,k-big,k-small,1,congruent,1,left,12,12,ImageFilesMetamers_Paired/Small-visSmall/20_79.jpg,ImageFilesMetamers_Paired/Big-visSmall/20_38.jpg,1,1,leftSide,500.5747,1
